geography_type,geography_name,total_returns,returns_with_eitc,returns_with_ctc,total_federal_eitc,total_state_eitc,total_ctc,avg_federal_eitc_per_claim,avg_state_eitc_per_claim,avg_ctc_per_claim,eitc_participation_rate,ctc_participation_rate,county_name,district_number
house_district,House District 10,21963,1336,3953,6181058.202158734,3036753.894720586,1068702.772932721,4626.54,2273.019382275888,270.35,6.082957701589036,17.998451941902292,,10.0
house_district,House District 11,21963,1336,3953,6181058.202158734,3036753.894720586,1068702.772932721,4626.54,2273.019382275888,270.35,6.082957701589036,17.998451941902292,,11.0
house_district,House District 12,32944,2005,5930,9271587.3032381,4555130.842080878,1603054.1593990815,4624.23,2271.8857067735053,270.33,6.086085478387567,18.000242836328315,,12.0
house_district,House District 13,54846,3337,9872,15589017.38194253,7658884.239748365,2603425.92435897,4671.57,2295.1406172455395,263.72,6.084308791890019,17.999489479633883,,13.0
house_district,House District 14,16380,997,2948,4840351.466437591,2378064.6754607884,699030.5677402917,4854.92,2385.220336470199,237.12,6.086691086691086,17.997557997557998,,14.0
house_district,House District 15,16380,997,2948,4840351.466437591,2378064.6754607884,699030.5677402917,4854.92,2385.220336470199,237.12,6.086691086691086,17.997557997557998,,15.0
house_district,House District 16,21840,1329,3931,6453801.955250122,3170752.900614385,932040.7569870556,4856.13,2385.8185858648494,237.1,6.085164835164835,17.999084249084248,,16.0
house_district,House District 17,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,17.0
house_district,House District 18,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,18.0
house_district,House District 19,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,19.0
house_district,House District 20,58350,3537,10506,15806164.563962352,7765568.650274703,3321929.5311118974,4468.81,2195.5240741517396,316.19,6.061696658097686,18.00514138817481,,20.0
house_district,House District 21,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,21.0
house_district,House District 22,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,22.0
house_district,House District 23,58350,3551,10503,15806164.563962352,7765568.650274703,3321929.5311118974,4451.19,2186.8681076526905,316.28,6.085689802913453,18.0,,23.0
house_district,House District 24,58350,3551,10503,15806164.563962352,7765568.650274703,3321929.5311118974,4451.19,2186.8681076526905,316.28,6.085689802913453,18.0,,24.0
house_district,House District 25,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,25.0
house_district,House District 26,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,26.0
house_district,House District 27,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,27.0
house_district,House District 28,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,28.0
house_district,House District 29,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,29.0
house_district,House District 30,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,30.0
house_district,House District 31,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,31.0
house_district,House District 32,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,32.0
house_district,House District 33,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,33.0
