NAME,total_population,below_poverty,total_population_poverty,median_income,median_income_moe,bachelors_plus,pop_25_plus,renter_occupied,total_housing_units,median_rent,rent_30_34_pct,rent_35_39_pct,rent_40_49_pct,rent_50_plus_pct,rent_total_units,state,state legislative district (lower chamber),district,geoid,poverty_rate,bachelors_rate,renter_rate,rent_burden_households,rent_burden_rate,severe_rent_burden_rate
State House District 17 (2022); Hawaii,24098,2234,24033,94805,9850,3145,16793,2888,7832,1547,213,197,311,407,2888,15,017,017,15017,9.3,18.73,36.87,1128,39.06,14.09
State House District 18 (2022); Hawaii,27361,822,27329,149766,10222,6938,20208,1518,9793,3318,126,138,170,342,1518,15,018,018,15018,3.01,34.33,15.5,776,51.12,22.53
State House District 19 (2022); Hawaii,26364,1436,26157,162990,13176,6707,19955,1815,9264,3069,106,104,155,428,1815,15,019,019,15019,5.49,33.61,19.59,793,43.69,23.58
State House District 20 (2022); Hawaii,27098,1828,26810,118037,7018,6719,21079,3684,9860,2071,378,154,256,1029,3684,15,020,020,15020,6.82,31.88,37.36,1817,49.32,27.93
State House District 21 (2022); Hawaii,26131,2573,25758,119715,8004,5360,20156,3111,9069,1886,307,201,115,667,3111,15,021,021,15021,9.99,26.59,34.3,1290,41.47,21.44
State House District 22 (2022); Hawaii,27659,2210,24988,106675,8667,6231,19881,3967,10183,1821,315,187,276,913,3967,15,022,022,15022,8.84,31.34,38.96,1691,42.63,23.01
State House District 23 (2022); Hawaii,27996,4520,27744,65356,5455,5469,22672,9019,13970,1515,922,358,825,2188,9019,15,023,023,15023,16.29,24.12,64.56,4293,47.6,24.26
State House District 24 (2022); Hawaii,27076,3308,26874,73271,2073,5774,23089,9126,15858,1862,743,490,954,2522,9126,15,024,024,15024,12.31,25.01,57.55,4709,51.6,27.64
State House District 25 (2022); Hawaii,26366,2634,26204,88328,8943,7265,22141,7203,14392,1967,435,525,873,1778,7203,15,025,025,15025,10.05,32.81,50.05,3611,50.13,24.68
State House District 26 (2022); Hawaii,28554,4282,28105,75605,7888,6705,22652,7790,13796,1642,721,609,693,2097,7790,15,026,026,15026,15.24,29.6,56.47,4120,52.89,26.92
State House District 27 (2022); Hawaii,26484,1728,25810,103626,10411,5280,20159,3441,9418,1822,234,255,273,839,3441,15,027,027,15027,6.7,26.19,36.54,1601,46.53,24.38
State House District 28 (2022); Hawaii,27421,5778,26848,58725,4819,3309,20462,7817,10410,1289,895,578,856,1454,7817,15,028,028,15028,21.52,16.17,75.09,3783,48.39,18.6
State House District 29 (2022); Hawaii,27366,3177,26887,120075,17123,3398,20053,1979,6311,1582,313,59,138,299,1979,15,029,029,15029,11.82,16.95,31.36,809,40.88,15.11
State House District 30 (2022); Hawaii,34120,3672,32073,84583,8046,3623,21965,6462,8789,2468,745,618,578,1611,6462,15,030,030,15030,11.45,16.49,73.52,3552,54.97,24.93
State House District 31 (2022); Hawaii,38648,3356,34167,91928,4307,5821,24786,7085,12369,2656,679,505,839,2303,7085,15,031,031,15031,9.82,23.49,57.28,4326,61.06,32.51
State House District 32 (2022); Hawaii,35631,3089,34197,96859,8247,5180,23680,5679,11452,2430,490,425,462,1977,5679,15,032,032,15032,9.03,21.88,49.59,3354,59.06,34.81
State House District 33 (2022); Hawaii,28006,1255,27948,122102,5158,5913,21773,2295,10118,2431,258,181,75,344,2295,15,033,033,15033,4.49,27.16,22.68,858,37.39,14.99
State House District 34 (2022); Hawaii,29009,1970,28659,104322,7426,4807,21335,2822,9252,2317,149,184,364,617,2822,15,034,034,15034,6.87,22.53,30.5,1314,46.56,21.86
State House District 35 (2022); Hawaii,25803,1807,25526,106699,6544,3184,18719,2716,7926,2062,424,219,149,726,2716,15,035,035,15035,7.08,17.01,34.27,1518,55.89,26.73
State House District 36 (2022); Hawaii,26326,3198,25875,102108,11976,2693,18410,2077,5605,1595,191,172,231,478,2077,15,036,036,15036,12.36,14.63,37.06,1072,51.61,23.01
State House District 37 (2022); Hawaii,27412,1112,27136,121988,8520,5731,21161,1755,10216,2358,279,85,214,414,1755,15,037,037,15037,4.1,27.08,17.18,992,56.52,23.59
State House District 38 (2022); Hawaii,29142,1080,29061,132736,5308,5887,19942,2353,9790,2249,237,166,293,646,2353,15,038,038,15038,3.72,29.52,24.03,1342,57.03,27.45
State House District 39 (2022); Hawaii,27533,1728,27448,120682,7170,4140,19190,2359,7958,2471,130,135,292,565,2359,15,039,039,15039,6.3,21.57,29.64,1122,47.56,23.95
State House District 40 (2022); Hawaii,30234,1619,29795,129186,9691,3976,20042,2759,7596,3193,246,290,265,882,2759,15,040,040,15040,5.43,19.84,36.32,1683,61.0,31.97
State House District 41 (2022); Hawaii,33565,1544,33208,134688,10114,5531,21965,3021,10242,2994,467,511,282,605,3021,15,041,041,15041,4.65,25.18,29.5,1865,61.73,20.03
State House District 42 (2022); Hawaii,28322,2868,27886,108750,6606,2827,17553,2438,8338,1891,447,38,350,698,2438,15,042,042,15042,10.28,16.11,29.24,1533,62.88,28.63
State House District 43 (2022); Hawaii,31131,1870,30491,124068,8887,4952,20080,2094,9456,2369,325,221,207,696,2094,15,043,043,15043,6.13,24.66,22.14,1449,69.2,33.24
State House District 44 (2022); Hawaii,27659,4046,27179,97422,14080,2015,17142,2311,7161,2220,215,121,144,749,2311,15,044,044,15044,14.89,11.75,32.27,1229,53.18,32.41
State House District 45 (2022); Hawaii,24799,5101,24558,77000,7688,1711,15932,3235,7180,1656,233,220,376,1287,3235,15,045,045,15045,20.77,10.74,45.06,2116,65.41,39.78
State House District 46 (2022); Hawaii,50404,4642,44973,84842,2715,5646,28781,9154,15104,2589,713,850,1313,3435,9154,15,046,046,15046,10.32,19.62,60.61,6311,68.94,37.52
State House District 47 (2022); Hawaii,28560,2699,26737,91618,7184,3389,17506,4390,8386,2556,525,298,657,1224,4390,15,047,047,15047,10.09,19.36,52.35,2704,61.59,27.88
State House District 48 (2022); Hawaii,26471,1686,26261,134622,7279,5091,19336,1907,8605,2565,216,180,159,479,1907,15,048,048,15048,6.42,26.33,22.16,1034,54.22,25.12
State House District 49 (2022); Hawaii,27148,2630,26572,125491,8893,4850,20525,2022,8402,1946,168,91,239,352,2022,15,049,049,15049,9.9,23.63,24.07,850,42.04,17.41
State House District 50 (2022); Hawaii,40442,1963,36144,116503,6626,6955,25961,5165,12498,3265,404,521,564,1848,5165,15,050,050,15050,5.43,26.79,41.33,3337,64.61,35.78
State House District 51 (2022); Hawaii,27425,1577,27204,148207,8263,4725,19235,1806,8294,2997,210,113,147,238,1806,15,051,051,15051,5.8,24.56,21.77,708,39.2,13.18
